what,kind,bundleId,bundleVersion,description,time
ws,sysinfo,,,"win32",1328087083362
locale,sysinfo,,,"en_US",1328087083362
processors,sysinfo,,,"4",1328087083362
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1328087083362
java.runtime.version,sysinfo,,,"1.7.0_01-b08",1328087083362
java.specification.name,sysinfo,,,"Java Platform API Specification",1328087083362
java.specification.vendor,sysinfo,,,"Oracle Corporation",1328087083362
java.specification.version,sysinfo,,,"1.7",1328087083362
java.vendor,sysinfo,,,"Oracle Corporation",1328087083362
java.version,sysinfo,,,"1.7.0_01",1328087083362
java.vm.info,sysinfo,,,"mixed mode, sharing",1328087083362
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1328087083362
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1328087083362
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1328087083362
java.vm.specification.version,sysinfo,,,"1.7",1328087083362
java.vm.vendor,sysinfo,,,"Oracle Corporation",1328087083362
java.vm.version,sysinfo,,,"21.1-b02",1328087083362
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1328087083367
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1328087087940
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1328087089639
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1328087089716
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328087089758
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328087091596
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328087098910
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328087133510
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1328087133532
started,bundle,org.eclipse.jdt.launching,3.6.1.v20110803_r371,"org.eclipse.jdt.launching",1328087138534
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328087138947
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1328087165592
started,bundle,org.eclipse.jgit,1.1.0.201109151100-r,"org.eclipse.jgit",1328087166137
started,bundle,org.eclipse.egit.core,1.1.0.201109151100-r,"org.eclipse.egit.core",1328087166173
started,bundle,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui",1328087166198
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328087169831
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1328087169859
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1328087169865
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r371_v20110824-0800,"org.eclipse.ltk.core.refactoring",1328087176716
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1328087177195
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1328087177208
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1328087185065
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1328087190958
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1328087191065
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328087191121
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328087193353
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328087193744
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328087195592
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328087198478
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328087206618
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1328087234492
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328087237286
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328087279298
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328087283433
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328087285218
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1328087285224
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1328087285224
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328087285761
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328087413526
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328087418271
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328087423506
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328087425421
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328087558923
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328087561439
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328087562448
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328087562627
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1328087563149
stopped,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1328087563152
stopped,bundle,org.eclipse.m2e.refactoring,1.0.100.20110804-1717,"org.eclipse.m2e.refactoring",1328087563153
stopped,bundle,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor",1328087563156
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.100.20110804-1717,"org.eclipse.m2e.editor.xml",1328087563158
stopped,bundle,org.eclipse.m2e.jdt,1.0.100.20110804-1717,"org.eclipse.m2e.jdt",1328087563161
stopped,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1328087563161
stopped,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1328087563161
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1328087563163
stopped,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1328087563164
stopped,bundle,org.eclipse.help.webapp,3.6.0.v20110518,"org.eclipse.help.webapp",1328087563165
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1328087563165
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1328087563166
stopped,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1328087563166
stopped,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1328087563166
stopped,bundle,org.eclipse.help.base,3.6.1.v201109091335,"org.eclipse.help.base",1328087563167
stopped,bundle,org.eclipse.equinox.http.jetty,2.0.100.v20110502,"org.eclipse.equinox.http.jetty",1328087563168
stopped,bundle,org.eclipse.m2e.core.ui,1.0.100.20110804-1717,"org.eclipse.m2e.core.ui",1328087563169
stopped,bundle,org.eclipse.m2e.core,1.0.100.20110804-1717,"org.eclipse.m2e.core",1328087563171
stopped,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1328087563172
stopped,bundle,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui",1328087563173
stopped,bundle,org.eclipse.ant.launching,1.0.100.v20110506,"org.eclipse.ant.launching",1328087563176
stopped,bundle,org.eclipse.compare.win32,1.0.200.I20110510-0800,"org.eclipse.compare.win32",1328087563177
stopped,bundle,org.eclipse.egit.mylyn.ui,1.1.0.201109151100-r,"org.eclipse.egit.mylyn.ui",1328087563178
stopped,bundle,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui",1328087563178
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk",1328087563179
stopped,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1328087563180
stopped,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1328087563181
stopped,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1328087563182
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20110305-1450,"org.eclipse.jdt.apt.ui",1328087563183
stopped,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1328087563183
stopped,bundle,org.eclipse.wb.swing.databinding,1.1.0.r37x201109091143,"org.eclipse.wb.swing.databinding",1328087563184
stopped,bundle,org.eclipse.wb.core.databinding,1.1.0.r37x201109091012,"org.eclipse.wb.core.databinding",1328087563186
stopped,bundle,org.eclipse.wb.swing.FormLayout,1.1.0.r37x201109091143,"org.eclipse.wb.swing.FormLayout",1328087563187
stopped,bundle,org.eclipse.wb.swing.MigLayout,1.1.0.r37x201109091143,"org.eclipse.wb.swing.MigLayout",1328087563188
stopped,bundle,org.eclipse.wb.swing.java6,1.1.0.r37x201109091143,"org.eclipse.wb.swing.java6",1328087563189
stopped,bundle,org.eclipse.wb.swing.jsr296,1.1.0.r37x201109091143,"org.eclipse.wb.swing.jsr296",1328087563190
stopped,bundle,org.eclipse.wb.swing,1.1.0.r37x201109091143,"org.eclipse.wb.swing",1328087563193
stopped,bundle,org.eclipse.wb.core.ui,1.1.0.r37x201109091028,"org.eclipse.wb.core.ui",1328087563194
stopped,bundle,org.eclipse.wb.layout.group,1.1.0.r37x201109091112,"org.eclipse.wb.layout.group",1328087563196
stopped,bundle,org.eclipse.wb.os.win32,1.1.0.r37x201109091012,"org.eclipse.wb.os.win32",1328087563208
stopped,bundle,org.eclipse.wb.core,1.1.0.r37x201109091012,"org.eclipse.wb.core",1328087563212
stopped,bundle,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui",1328087563242
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1328087563244
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.404.v201105050216,"org.eclipse.wst.xsd.ui",1328087563247
stopped,bundle,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui",1328087563250
